ID,BiGG ID,Enzyme,Reaction equation,Gene name
vE_Tkt2,TKT2,transketolase,(1)e4p[c]+(1)xu5p-D[c]<--->(1)f6p[c]+(1)g3p[c],tktA or tktB
vE_Tal,TALA,transaldolase,(1)g3p[c]+(1)s7p[c]<--->(1)e4p[c]+(1)f6p[c],talB or talA
vE_Cya,ADNCYC,,ATP ↔ cAMP + 2 * P,cyaA
vE_cAMPdegr,PDE1,"3',5'-cyclic-nucleotide phosphodiesterase",camp_c + h2o_c → amp_c + h_c,dosP or cpdA
vG_glk,NA,,Synthesis of enzyme,
vG_pfkA,NA,,Synthesis of enzyme pfkA,
vG_fbp,NA,,Synthesis of enzyme fbp,
vG_fbaA,NA,,,
vG_gapA,NA,,,
vG_pykF,NA,,,
vG_ppsA,NA,,,
vG_lpd,NA,,,
vG_acs,NA,,,
vG_gltA,NA,,,
vG_icdA,NA,,,
vG_sucAB,NA,,,
vG_sdhCDAB,NA,,,
vG_fumABC,NA,,,
vG_mdh,NA,,,
vG_maeB,NA,,,
vG_pckA,NA,,,
vG_ppc,NA,,,
vG_aceA,NA,,,
vG_aceB,NA,,,
vG_aceK,NA,,Synthesis of ezyme aceK,
vD_X,NA,,Dilution rate,
vD_GLCfeed,NA,,,
vD_GLCex,NA,,,
vD_GLC,NA,,Dilution due to growth of GLC,
vD_G6P,NA,,Dilution due to growth of G6P,
vD_F6P,NA,,,
vD_FBP,NA,,,
vD_GAP,NA,,,
vD_PEP,NA,,,
vD_PYR,NA,,,
vD_AcCoA,NA,,,
vD_AcP,NA,,,
vD_ACEex,NA,,,
vD_ICIT,NA,,,
vD_aKG,NA,,,
vD_SUC,NA,,,
vD_FUM,NA,,,
vD_MAL,NA,,,
vD_OAA,NA,,,
vD_GOX,NA,,,
vD_6PGL,NA,,,
vD_6PG,NA,,,
vD_KDPG,NA,,,
vD_RU5P,NA,,,
vD_R5P,NA,,,
vD_X5P,NA,,,
vD_S7P,NA,,,
vD_E4P,NA,,,
vD_cAMP,NA,,,
vD_Glk,NA,,Dilution due to growth and degradation of Glk,
vD_Pfk,NA,,,
vD_Fbp,NA,,,
vD_Fba,NA,,,
vD_Gapdh,NA,,,
vD_Pyk,NA,,,
vD_Pps,NA,,,
vD_Pdh,NA,,,
vD_Acs,NA,,,
vD_Cs,NA,,,
vD_Icdh,NA,,,
vD_IcdhP,NA,,,
vD_akgdh,NA,,,
vD_Sdh,NA,,,
vD_Fum,NA,,,
vD_Mdh,NA,,,
vD_MaeB,NA,,,
vD_Pck,NA,,,
vD_Ppc,NA,,,
vD_Icl,NA,,,
vD_Ms,NA,,,
vD_AceK,NA,,,
vBM_G6P,NA,,Biomass requirement,
vBM_F6P,NA,,,
vBM_GAP,NA,,,
vBM_PEP,NA,,,
vBM_PYR,NA,,,
vBM_AcCoA,NA,,,
vBM_aKG,NA,,,
vBM_SUC,NA,,,
vBM_FUM,NA,,,
vBM_OAA,NA,,,
vBM_R5P,NA,,,
vBM_E4P,NA,,,
alphaGLC,NA,,ancillary value,
alphaACE,NA,,,
H,NA,,,
EIIA,NA,,,
CrpcAMP,NA,,,
Crp,NA,,,
CraFBP,NA,,,
Cra,NA,,,
PdhRPYR,NA,,,
PdhR,NA,,,
OP_NADH,NA,,,
OP_FADH2,NA,,,
vATP,NA,,,
mu,NA,,,
A,NA,,kinetic parameters returned with the fluxes,
B,NA,,,
vSdh1_max,NA,,,
vSdh2_max,NA,,,
vFum1_max,NA,,,
vFum2_max,NA,,,
vMdh1_max,NA,,,
vMdh2_max,NA,,,
QEdd_pH,NA,,,
QEda_pH,NA,,,
SS_MaeB,NA,,,
SS_Ppc,NA,,,
