ID,BiGG ID,Enzyme,Reaction equation,Gene name
CS,CS,citrate synthase,(1)accoa[c]+(1)h2o[c]+(1)oaa[c]--->(1)cit[c]+(1)coa[c]+(1)h[c],gltA
CYTBD2pp_H,composed of CYTBD2pp and Htex,composed of cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm) and proton transport via diffusion (extracellular to periplasm),(2)h[c]+(0.5)o2[c]+(1)q8h2[c]--->(1)h2o[c]+(2)h[e]+(1)q8[c],NA
D-LACt2pp_ex_H,composed of D-LACt2pp and D-LACtex and Htex,composed of D-lactate transport via diffusion (periplasm and extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm),(1)h[e]+(1)lac-D[e]<--->(1)h[c]+(1)lac-D[c],NA
ENO,ENO,enolase,(1)2pg[c]<--->(1)h2o[c]+(1)pep[c],eno
ETOHt2rpp_ex_H,composed of ETOHt2rpp and ETOHtex and Htex,composed of ethanol reversible transport via proton symport (periplasm) and ethanol transport via diffusion (extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm),(1)etoh[e]+(1)h[e]<--->(1)etoh[c]+(1)h[c],NA
EX_ac(e),EX_ac(e),Acetate exchange,(1)ac[e]<--->,NA
EX_acald(e),EX_acald(e),Acetaldehyde exchange,(1)acald[e]<--->,NA
EX_akg(e),EX_akg(e),2-Oxoglutarate exchange,(1)akg[e]<--->,NA
EX_co2(e),EX_co2(e),CO2 exchange,(1)co2[e]<--->,NA
EX_etoh(e),EX_etoh(e),Ethanol exchange,(1)etoh[e]<--->,NA
EX_fum(e),EX_fum(e),Fumarate exchange,(1)fum[e]<--->,NA
EX_glc(e),EX_glc(e),D-Glucose exchange,(1)glc-D[e]<--->,NA
EX_gln_L(e),EX_gln_L(e),L-Glutamine exchange,(1)gln-L[e]<--->,NA
EX_glu_L(e),EX_glu_L(e),L-Glutamate exchange,(1)glu-L[e]<--->,NA
EX_h(e),EX_h(e),H2 exchange,(1)h[e]<--->,NA
EX_h2o(e),EX_h2o(e),H2O exchange,(1)h2o[e]<--->,NA
EX_lac_D(e),EX_lac_D(e),D-lactate exchange,(1)lac-D[e]<--->,NA
EX_mal_L(e),EX_mal_L(e),L-Malate exchange,(1)mal-L[e]<--->,NA
EX_nh4(e),EX_nh4(e),Ammonia exchange,(1)nh4[e]<--->,NA
EX_o2(e),EX_o2(e),O2 exchange,(1)o2[e]<--->,NA
EX_pi(e),EX_pi(e),Phosphate exchange,(1)pi[e]<--->,NA
EX_pyr(e),EX_pyr(e),Pyruvate exchange,(1)pyr[e]<--->,NA
EX_succ(e),EX_succ(e),Succinate exchange,(1)succ[e]<--->,NA
FBA,FBA,fructose-bisphosphate aldolase,(1)fdp[c]<--->(1)dhap[c]+(1)g3p[c],fbaA or fbaB
FBP,FBP,fructose-bisphosphatase,(1)fdp[c]+(1)h2o[c]--->(1)f6p[c]+(1)pi[c],fbp or glpX or yggF or yidA
FRD2,FRD2,fumarate reductase,(1)fum[c]+(1)q8h2[c]--->(1)q8[c]+(1)succ[c],frdC and frdD and frdB and frdA
FUM,FUM,fumarase,(1)fum[c]+(1)h2o[c]<--->(1)mal-L[c],fumA or fumB or fumC
FUMt2_2pp_ex_H,composed of FUMt2_2pp and FUMtex and Htex,composed of Fumarate transport via diffusion (extracellular to periplasm) and Fumarate transport via proton symport (2 H) (periplasm) and proton transport via diffusion (extracellular to periplasm),(1)fum[e]+(2)h[e]--->(1)fum[c]+(2)h[c],NA
G6PDH2r,G6PDH2r,glucose 6-phosphate dehydrogenase,(1)g6p[c]+(1)nadp[c]<--->(1)6pgl[c]+(1)h[c]+(1)nadph[c],zwf
GAPD,GAPD,glyceraldehyde-3-phosphate dehydrogenase,(1)g3p[c]+(1)nad[c]+(1)pi[c]<--->(1)13dpg[c]+(1)h[c]+(1)nadh[c],gapA
GLCptspp_ex_exi,GLCptspp,composed of glucose transport via diffusion (extracellular to periplasm) and D-glucoseMaltotriose transport via diffusion (extracellular to periplasm) irreversible and D-glucose transport via PEP:Pyr PTS (periplasm),(1)glc-D[e]+(1)pep[c]--->(1)g6p[c]+(1)pyr[c],NA
GLNS,GLNS,glutamine synthetase,(1)atp[c]+(1)glu-L[c]+(1)nh4[c]--->(1)adp[c]+(1)gln-L[c]+(1)h[c]+(1)pi[c],glnA
GLNabcpp_ex,composed of GLNabcpp and GLNtex,composed of L-glutamine transport via ABC system (periplasm) and L-glutamine transport via diffusion (extracellular to periplasm),(1)atp[c]+(1)gln-L[e]+(1)h2o[c]--->(1)adp[c]+(1)gln-L[c]+(1)h[c]+(1)pi[c],NA
GLUDy,GLUDy,glutamate dehydrogenase (NADP),(1)glu-L[c]+(1)h2o[c]+(1)nadp[c]<--->(1)akg[c]+(1)h[c]+(1)nadph[c]+(1)nh4[c],gdhA or (gltD and gltB)
GLUN,GLUN,glutaminase,(1)gln-L[c]+(1)h2o[c]--->(1)glu-L[c]+(1)nh4[c],glsA or glsB
GLUSy,GLUSy,glutamate synthase (NADPH),(1)akg[c]+(1)gln-L[c]+(1)h[c]+(1)nadph[c]--->(2)glu-L[c]+(1)nadp[c],gltD and gltB
GLUt2rpp_ex_H,composed of GLUt2rpp and GLUtex and Htex,"composed of L-glutamate transport via proton symport, reversible (periplasm) and L-glutamate transport via diffusion (extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm)",(1)glu-L[e]+(1)h[e]<--->(1)glu-L[c]+(1)h[c],NA
GND,GND,phosphogluconate dehydrogenase,(1)6pgc[c]+(1)nadp[c]--->(1)co2[c]+(1)nadph[c]+(1)ru5p-D[c],gnd
H2Otpp_ex,composed of H2Otex and H2Otpp,composed of H2O transport via diffusion (extracellular to periplasm) and H2O transport via diffusion (periplasm),(1)h2o[e]<--->(1)h2o[c],NA
ICDHyr,ICDHyr,isocitrate dehydrogenase (NADP),(1)icit[c]+(1)nadp[c]<--->(1)akg[c]+(1)co2[c]+(1)nadph[c],icd
ICL,ICL,Isocitrate lyase,(1)icit[c]--->(1)glx[c]+(1)succ[c],aceA
LDH_D,LDH_D,D-lactate dehydrogenase,(1)lac-D[c]+(1)nad[c]<--->(1)h[c]+(1)nadh[c]+(1)pyr[c],ldhA
MALS,MALS,malate synthase,(1)accoa[c]+(1)glx[c]+(1)h2o[c]--->(1)coa[c]+(1)h[c]+(1)mal-L[c],aceB or glcB
MALt2_2pp_ex_H,MALt2_2pp,composed of Malate transport via proton symport (2 H) (periplasm) and Malate transport via diffusion (extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm),(2)h[e]+(1)mal-L[e]--->(2)h[c]+(1)mal-L[c],NA
MDH,MDH,malate synthase,(1)mal-L[c]+(1)nad[c]<--->(1)h[c]+(1)nadh[c]+(1)oaa[c],mdh
ME1,ME1,malic enzyme (NAD),(1)mal-L[c]+(1)nad[c]--->(1)co2[c]+(1)nadh[c]+(1)pyr[c],maeA
ME2,ME2,malic enzyme (NADP),(1)mal-L[c]+(1)nadp[c]--->(1)co2[c]+(1)nadph[c]+(1)pyr[c],maeB
NADH16pp_H,composed of NADH16pp and Htex,composed of NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm) and proton transport via diffusion (extracellular to periplasm),(4)h[c]+(1)nadh[c]+(1)q8[c]--->(3)h[e]+(1)nad[c]+(1)q8h2[c],NA
NADTRHD,NADTRHD,NAD transhydrogenase,(1)nad[c]+(1)nadph[c]--->(1)nadh[c]+(1)nadp[c],sthA
NH4tpp_ex,composed of NH4tex and NH4tpp,composed of ammonia transport via diffusion (extracellular to periplasm) and ammonia reversible transport (periplasm),(1)nh4[e]<--->(1)nh4[c],NA
O2tpp_ex,composed of O2tpp and O2tex,composed of oxygen transport via diffusion (extracellular to periplasm) and o2 transport via diffusion (periplasm),(1)o2[e]<--->(1)o2[c],NA
PDH,PDH,pyruvate dehydrogenase,(1)coa[c]+(1)nad[c]+(1)pyr[c]--->(1)accoa[c]+(1)co2[c]+(1)nadh[c],aceF and lpd and aceE
PFKA,PFK,phosphofructokinase,(1)atp[c]+(1)f6p[c]--->(1)adp[c]+(1)fdp[c]+(1)h[c],pfkA or pfkB
PGI,PGI,glucose-6-phosphate isomerase,(1)g6p[c]<--->(1)f6p[c],pgi
PGK,PGK,phosphoglycerate kinase,(1)3pg[c]+(1)atp[c]<--->(1)13dpg[c]+(1)adp[c],pgk
PGL,PGL,6-phosphogluconolactonase,(1)6pgl[c]+(1)h2o[c]--->(1)6pgc[c]+(1)h[c],pgl
PGM,PGM,phosphoglycerate mutase,(1)2pg[c]<--->(1)3pg[c],gpmA or gpmM
PIt2rpp_ex_H,composed of PIt2rpp and Pitex and Htex,composed of phosphate reversible transport via symport (periplasm) and phosphate transport via diffusion (extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm),(1)h[e]+(1)pi[e]<--->(1)h[c]+(1)pi[c],NA
PPC,PPC,phosphoenolpyruvate carboxylase,(1)co2[c]+(1)h2o[c]+(1)pep[c]--->(1)h[c]+(1)oaa[c]+(1)pi[c],ppc
PPCK,PPCK,phosphoenolpyruvate carboxykinase,(1)atp[c]+(1)oaa[c]--->(1)adp[c]+(1)co2[c]+(1)pep[c],pck
PPS,PPS,phosphoenolpyruvate synthase,(1)atp[c]+(1)h2o[c]+(1)pyr[c]--->(1)amp[c]+(2)h[c]+(1)pep[c]+(1)pi[c],ppsA
PTAr,PTAr,phosphotransacetylase,(1)accoa[c]+(1)pi[c]<--->(1)actp[c]+(1)coa[c],pta or eutD
PYKF,PYK,pyruvate kinase,(1)adp[c]+(1)h[c]+(1)pep[c]--->(1)atp[c]+(1)pyr[c],pykA or pykF
PYRt2rpp_ex_H,composed of PYRt2rpp and PYRtex and Htex,composed of pyruvate reversible transport via proton symport (periplasm) and pyruvate transport via diffusion (extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm),(1)h[e]+(1)pyr[e]<--->(1)h[c]+(1)pyr[c],NA
RPE,RPE,ribulose 5-phosphate 3-epimerase,(1)ru5p-D[c]<--->(1)xu5p-D[c],rpe
RPI,RPI,ribose-5-phosphate isomerase,(1)r5p[c]<--->(1)ru5p-D[c],rpiA or rpiB
SUCCt2_2pp_ex_H,composed of SUCCt2_2pp and SUCCtex and Htex,composed of succinate transport via proton symport (2 H) (periplasm) and succinate transport via diffusion (extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm),(2)h[e]+(1)succ[e]--->(2)h[c]+(1)succ[c],NA
SUCCt3pp_ex_H,composed of SUCCt3pp and SUCCtex and Htex,composed of succinate transport out via proton antiport (periplasm) and succinate transport via diffusion (extracellular to periplasm) and proton transport via diffusion (extracellular to periplasm),(1)h[e]+(1)succ[c]--->(1)h[c]+(1)succ[e],NA
SUCDi,SUCDi,succinate dehydrogenase (irreversible),(1)q8[c]+(1)succ[c]--->(1)fum[c]+(1)q8h2[c],sdhC and sdhD and sdhA and sdhB
SUCOAS,SUCOAS,succinyl-CoA synthetase (ADP-forming),(1)atp[c]+(1)coa[c]+(1)succ[c]<--->(1)adp[c]+(1)pi[c]+(1)succoa[c],sucD and sucC
TALA,TALA,transaldolase,(1)g3p[c]+(1)s7p[c]<--->(1)e4p[c]+(1)f6p[c],talB or talA
TKT1,TKT1,transketolase,(1)r5p[c]+(1)xu5p-D[c]<--->(1)g3p[c]+(1)s7p[c],tktA or tktB
TKT2,TKT2,transketolase,(1)e4p[c]+(1)xu5p-D[c]<--->(1)f6p[c]+(1)g3p[c],tktA or tktB
TPI,TPI,triose-phosphate isomerase,(1)dhap[c]<--->(1)g3p[c],tpiA
PYKA,PYK,pyruvate kinase,[c] : adp + h + pep --> atp + pyr,pykA or pykF
EDA,EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,[c] : 2ddg6p --> g3p + pyr,eda
EDD,EDD,6-phosphogluconate dehydratase,[c] : 6pgc --> 2ddg6p + h2o,edd
FBP_Glpx,FBP,fructose-bisphosphatase,(1)fdp[c]+(1)h2o[c]--->(1)f6p[c]+(1)pi[c],fbp or glpX or yggF or yidA
PGL_spon,PGL,6-phosphogluconolactonase,(1)6pgl[c]+(1)h2o[c]--->(1)6pgc[c]+(1)h[c],pgl
MDH2,MDH2,Malate dehydrogenase (ubiquinone 8 as acceptor),[c] : mal-L + q8 --> oaa + q8h2,mqo
EX_E4P(e),EX_E4P(e),NA,e4p [c] -->,NA
EX_S7P(e),EX_S7P(e),NA,s7p [c] -->,NA
EX_RU5P(e),EX_RU5P(e),NA,ru5p [c] -->,NA
EX_OAA(e),EX_OAA(e),NA,oaa [c] -->,NA
EX_SUCCOA(e),EX_SUCCOA(e),NA,succoa [c] -->,NA
EX_ACCOA(e),EX_ACCOA(e),NA,accoa [c] -->,NA
DDPA,DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,[c] : e4p + h2o + pep --> 2dda7p + pi,aroF or aroG or aroH
PGMT,PGMT,phosphoglucomutase,[c] : g1p <==> g6p,yqaB or pgm or ycjU
GLGC,GLGC,glucose-1-phosphate adenylyltransferase,[c] : atp + g1p + h --> adpglc + ppi,glgC
R5PP,R5PP,ribose 5-phosphate phosphatase,[c] : h2o + r5p --> pi + rib-D,ybiV or yqaB or umpH or yfbT or yidA
EX_DHAP(e),EX_DHAP(e),NA,dhap [c] -->,NA
EX_3PG(e),EX_3PG(e),NA,3pg [c] -->,NA
EX_F6P(e),EX_F6P(e),NA,f6p [c] -->,NA
EX_G3P(e),EX_G3P(e),NA,--> gap [c],NA
EX_PEP(e),EX_PEP(e),NA,pep [c] -->,NA
ACS,ACS,acetyl-CoA synthetase,[c] : ac + atp + coa --> accoa + amp + ppi,acs
EX_2DDA7P(e),EX_2DDA7P(e),NA,(1)2dda7p_e=,NA
EX_ADPGLC(e),EX_ADPGLC(e),NA,(1)adpglc_e=,NA
ADPGLCtpp_ex,ADPGLCtpp_ex,NA,(1)adpglc_e=(1)adpglc_c,NA
2DDA7Ptpp_ex,2DDA7Ptpp_ex,NA,(1)2dda7p_e=(1)2dda7p_c,NA
E4Ptpp_ex,E4Ptpp_ex,NA,(1)e4p_e=(1)e4p_c,NA
S7Ptpp_ex,S7Ptpp_ex,NA,(1)s7p_e=(1)s7p_c,NA
RU5Ptpp_ex,RU5Ptpp_ex,NA,(1)ru5p_e=(1)ru5p_c,NA
OAAtpp_ex,OAAtpp_ex,NA,(1)oaa_e=(1)oaa_c,NA
SUCCOAtpp_ex,SUCCOAtpp_ex,NA,(1)succoa_e=(1)succoa_c,NA
ACCOAtpp_ex,ACCOAtpp_ex,NA,(1)accoa_e=(1)accoa_c,NA
DHAPtpp_ex,DHAPtpp_ex,NA,(1)dhap_e=(1)dhap_c,NA
3PGtpp_ex,3PGtpp_ex,NA,(1)3pg_e=(1)3pg_c,NA
F6Ptpp_ex,F6Ptpp_ex,NA,(1)f6p_e=(1)f6p_c,NA
G3Ptpp_ex,G3Ptpp_ex,NA,(1)g3p_e=(1)g3p_c,NA
PYRpp_ex,PYRpp_ex,NA,(1)pyr_e=(1)pyr_c,NA
PEPtpp_ex,PEPtpp_ex,NA,(1)pep_e=(1)pep_c,NA
RIB_Dtpp_ex,RIB_Dtpp_ex,NA,(1)rib_d_e=(1)rib_d_c,NA
EX_RIB_D(e),EX_RIB_D(e),NA,(1)rib_d_e-->,NA
PPA,PPA,inorganic diphosphatase,(1)h2o_c+(1)ppi_c=(2)h_c+(2)pi_c,umpG or ppx or ppa
GLCS1,GLCS1,glycogen synthase (ADPGlc),(1)adpglc_c=(1)adp_c+(1)glycogen+(1)h_c,glgA
GLU5K,GLU5K,glutamate 5-kinase,[c] : atp + glu-L --> adp + glu5p,proB
G5SD,G5SD,glutamate-5-semialdehyde dehydrogenase,[c] : glu5p + h + nadph --> glu5sa + nadp + pi,proA
P5CR,P5CR,pyrroline-5-carboxylate reductase,[c] : 1pyr5c + (2) h + nadph --> nadp + pro-L,proC
ACGS,ACGS,N-acetylglutamate synthase,[c] : accoa + glu-L --> acglu + coa + h,argA
ACGK,ACGK,acetylglutamate kinase,[c] : acglu + atp --> acg5p + adp,argB
AGPR,AGPR,N-acetyl-g-glutamyl-phosphate reductase,[c] : acg5sa + nadp + pi <==> acg5p + h + nadph,argC
ACOTA,ACOTA,acetylornithine transaminase,[c] : acorn + akg <==> acg5sa + glu-L,astC or argD or gabT or puuE
ACODA,ACODA,acetylornithine deacetylase,[c] : acorn + h2o --> ac + orn,argE
OCBT,OCBT,ornithine carbamoyltransferase,[c] : cbp + orn <==> citr-L + h + pi,argI or argF
ARGSS,ARGSS,argininosuccinate synthase,[c] : asp-L + atp + citr-L --> amp + argsuc + h + ppi,argG
ARGSL,ARGSL,argininosuccinate lyase,[c] : argsuc <==> arg-L + fum,argH
ASPTA,ASPTA,aspartate transaminase,[c] : akg + asp-L <==> glu-L + oaa,aspC or tyrB
ASNS1,ASNS1,asparagine synthase (glutamine-hydrolysing),[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi,asnB
ASNS2,ASNS2,asparagine synthetase,[c] : asp-L + atp + nh4 --> amp + asn-L + h + ppi,asnA or asnB
ALATA_L,ALATA_L,L-alanine transaminase,[c] : akg + ala-L <==> glu-L + pyr,alaA or alaC
PGCD,PGCD,phosphoglycerate dehydrogenase,[c] : 3pg + nad --> 3php + h + nadh,serA
PSERT,PSERT,phosphoserine transaminase,[c] : 3php + glu-L --> akg + pser-L,serC
PSP_L,PSP_L,phosphoserine phosphatase (L-serine),[c] : h2o + pser-L --> pi + ser-L,serB
GHMT2r,GHMT2r,"glycine hydroxymethyltransferase, reversible",[c] : ser-L + thf <==> gly + h2o + mlthf,glyA
GLYCL,GLYCL,Glycine Cleavage System,[c] : gly + nad + thf --> co2 + mlthf + nadh + nh4,gcvH and gcvP and lpd and gcvT
GLYAT,GLYAT,glycine C-acetyltransferase,[c] : accoa + gly <==> 2aobut + coa,kbl
THRD,THRD,L-threonine dehydrogenase,[c] : nad + thr-L --> 2aobut + h + nadh,tdh or yiaY
SERAT,SERAT,serine O-acetyltransferase,[c] : accoa + ser-L <==> acser + coa,cysE
CYSS,CYSS,cysteine synthase,[c] : acser + h2s --> ac + cys-L + h,cysM or cysK
ASPTA,ASPTA,aspartate transaminase,[c] : akg + asp-L <==> glu-L + oaa,aspC or tyrB
ASPK,ASPK,aspartate kinase,[c] : asp-L + atp <==> 4pasp + adp,thrA or metL or lysC
ASAD,ASAD,aspartate-semialdehyde dehydrogenase,[c] : aspsa + nadp + pi <==> 4pasp + h + nadph,asd
DHDPS,DHDPS,dihydrodipicolinate synthase,[c] : aspsa + pyr --> 23dhdp + h + (2) h2o,dapA
DHDPRy,DHDPRy,dihydrodipicolinate reductase (NADPH),[c] : 23dhdp + h + nadph --> nadp + thdp,dapB
THDPS,THDPS,tetrahydrodipicolinate succinylase,[c] : h2o + succoa + thdp --> coa + sl2a6o,dapD
SDPTA,SDPTA,succinyldiaminopimelate transaminase,[c] : akg + sl26da <==> glu-L + sl2a6o,argD or puuE or astC or gabT or serC
SDPDS,SDPDS,succinyl-diaminopimelate desuccinylase,[c] : h2o + sl26da --> 26dap-LL + succ,dapE
DAPE,DAPE,diaminopimelate epimerase,[c] : 26dap-LL <==> 26dap-M,dapF
DAPDC,DAPDC,diaminopimelate decarboxylase,[c] : 26dap-M + h --> co2 + lys-L,lysA
HSK,HSK,homoserine kinase,[c] : atp + hom-L --> adp + h + phom,thrB
THRS,THRS,threonine synthase,[c] : h2o + phom --> pi + thr-L,thrC
HSDy,HSDy,homoserine dehydrogenase (NADPH),[c] : hom-L + nadp <==> aspsa + h + nadph,metL or thrA
HSST,HSST,homoserine O-succinyltransferase,[c] : hom-L + succoa --> coa + suchms,metA
SHSL1,SHSL1,O-succinylhomoserine lyase (L-cysteine),[c] : cys-L + suchms --> cyst-L + h + succ,metB
CYSTL,CYSTL,cystathionine b-lyase,[c] : cyst-L + h2o --> hcys-L + nh4 + pyr,metC or malY
METS,METS,methionine synthase,[c] : 5mthf + hcys-L --> h + met-L + thf,metH or metE
ACLS,ACLS,acetolactate synthase,[c] : h + (2) pyr --> alac-S + co2,(ilvI and ilvH) or (ilvN and ilvB)
KARA1,KARA1,"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",[c] : 23dhmb + nadp <==> alac-S + h + nadph,ilvC
DHAD1,DHAD1,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",[c] : 23dhmb --> 3mob + h2o,ilvD
VALTA,VALTA,valine transaminase,[c] : akg + val-L <==> 3mob + glu-L,ilvE
IPPS,IPPS,2-isopropylmalate synthase,[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h,leuA
IPPMIb,IPPMIb,2-isopropylmalate hydratase,[c] : 2ippm + h2o <==> 3c3hmp,leuD and leuC
IPPMIa,IPPMIa,3-isopropylmalate dehydratase,[c] : 3c2hmp <==> 2ippm + h2o,leuD and leuC
IPMD,IPMD,3-isopropylmalate dehydrogenase,[c] : 3c2hmp + nad --> 3c4mop + h + nadh,leuB or dmlA
OMCDC,OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,[c] : 3c4mop + h --> 4mop + co2,
LEUTAi,LEUTAi,leucine transaminase (irreversible),[c] : 4mop + glu-L --> akg + leu-L,ilvE or tyrB
DHAD2,DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",[c] : 23dhmp --> 3mop + h2o,ilvD
ILETA,ILETA,isoleucine transaminase,[c] : akg + ile-L <==> 3mop + glu-L,ilvE
PPNDH,PPNDH,prephenate dehydratase,[c] : h + pphn --> co2 + h2o + phpyr,pheA
PHETA1,PHETA1,phenylalanine transaminase,[c] : akg + phe-L <==> glu-L + phpyr,tyrB or aspC or ilvE
CHORM,CHORM,chorismate mutase,[c] : chor --> pphn,pheA or tyrA
PPND,PPND,prephenate dehydrogenase,[c] : nad + pphn --> 34hpp + co2 + nadh,tyrA
TYRTA,TYRTA,tyrosine transaminase,[c] : akg + tyr-L <==> 34hpp + glu-L,tyrB or aspC or ilvE
PRPPS,PRPPS,phosphoribosylpyrophosphate synthetase,[c] : atp + r5p <==> amp + h + prpp,prs
DHQS,DHQS,3-dehydroquinate synthase,[c] : 2dda7p --> 3dhq + pi,aroB
DHQTi,DHQTi,"3-dehydroquinate dehydratase, irreversible",[c] : 3dhq --> 3dhsk + h2o,aroD
SHK3Dr,SHK3Dr,shikimate dehydrogenase,[c] : 3dhsk + h + nadph <==> nadp + skm,aroE or ydiB
SHKK,SHKK,shikimate kinase,[c] : atp + skm --> adp + h + skm5p,aroK or aroL
PSCVT,PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,[c] : pep + skm5p <==> 3psme + pi,aroA
CHORS,CHORS,chorismate synthase,[c] : 3psme --> chor + pi,aroC
ANS,ANS,anthranilate synthase,[c] : chor + gln-L --> anth + glu-L + h + pyr,trpD and trpE
ANPRT,ANPRT,anthranilate phosphoribosyltransferase,[c] : anth + prpp --> ppi + pran,trpD
PRAIi,PRAIi,phosphoribosylanthranilate isomerase (irreversible),[c] : pran --> 2cpr5p,trpC
IGPS,IGPS,indole-3-glycerol-phosphate synthase,[c] : 2cpr5p + h --> 3ig3p + co2 + h2o,trpC
TRPS1,TRPS1,tryptophan synthase (indoleglycerol phosphate),[c] : 3ig3p + ser-L --> g3p + h2o + trp-L,trpA and trpB
ATPPRT,ATPPRT,ATP phosphoribosyltransferase,[c] : atp + prpp --> ppi + prbatp,hisG
PRATPP,PRATPP,phosphoribosyl-ATP pyrophosphatase,[c] : h2o + prbatp --> h + ppi + prbamp,hisI
PRAMPC,PRAMPC,phosphoribosyl-AMP cyclohydrolase,[c] : h2o + prbamp --> prfp,hisI
PRMICI,PRMICI,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,[c] : prfp <==> prlp,hisA
IG3PS,IG3PS,Imidazole-glycerol-3-phosphate synthase,[c] : gln-L + prlp --> aicar + eig3p + glu-L + h,hisH and hisF
IGPDH,IGPDH,imidazoleglycerol-phosphate dehydratase,[c] : eig3p --> h2o + imacp,hisB
HSTPT,HSTPT,histidinol-phosphate transaminase,[c] : glu-L + imacp --> akg + hisp,hisC
HISTP,HISTP,histidinol-phosphatase,[c] : h2o + hisp --> histd + pi,hisB
HISTD,HISTD,histidinol dehydrogenase,[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh,hisD
5MTHF,NA,NA,1mlthfl_c+1nadhd_c=15mthf_c+1nad_c,NA
THF,NA,NA,1mlthfl_c+1nadp_c=1thf_c+1nadphp_c,NA
EX_pro-L(e),EX_pro-L(e),L-Proline exchange,[e] : pro-L <==>,NA
EX_arg-L(e),EX_arg-L(e),L-Arginine exchange,[e] : arg-L <==>,NA
EX_asp-L(e),EX_asp-L(e),L-Aspartate exchange,[e] : asp-L <==>,NA
ASPtex,ASPtex,L-aspartate transport via diffusion (extracellular to periplasm),asp-L[e] <==> asp-L[p],phoE or ompF or ompN or ompC
EX_ala-L(e),EX_ala-L(e),L-Alanine exchange,[e] : ala-L <==>,NA
EX_ser-L(e),EX_ser-L(e),L-Serine exchange,[e] : ser-L <==>,NA
EX_gly(e),EX_gly(e),Glycine exchange,[e] : gly <==>,NA
